14. 3. 11 오전 2:11
프로젝트 통계

      	  부분	   단어	문자 (공백 없이)	문자 (공백 포함)	
총:    	4513	38437	    222809	    255004	
남은:   	4512	38435	    222794	    254987	
고유:   	2891	31455	    181028	    207506	
남은 고유:	2890	31453	    181013	    207489	


개별 파일 통계:

파일 이름                              	총 부분	나머지 부분	고유 부분	남은 고유 부분	총 단어	남은 단어	고유 단어	나머지 고유 단어	총 문자 (공백 없이)	나머지 문자 (공백 없이)	고유 문자 (공백 없이)	나머지 고유 문자 (공백 없이)	총 문자 (공백 포함)	나머지 문자 (공백 포함)	고유 문자 (공백 포함)	나머지 고유 문자 (공백 포함)	
languages/index.md                 	   3	     3	    3	       3	  63	   63	   63	       63	         504	           504	          504	              504	         530	           530	          530	              530	
languages/java.md                  	  65	    65	   19	      19	 602	  602	  361	      361	        3587	          3587	         2199	             2199	        4064	          4064	         2474	             2474	
languages/javascript-with-nodejs.md	  69	    69	   45	      45	 546	  546	  492	      492	        3191	          3191	         2794	             2794	        3648	          3648	         3213	             3213	
languages/objective-c.md           	  55	    55	   44	      44	 504	  504	  481	      481	        2737	          2737	         2606	             2606	        3159	          3159	         3012	             3012	
languages/perl.md                  	  49	    49	   32	      32	 450	  450	  402	      402	        2805	          2805	         2483	             2483	        3152	          3152	         2793	             2793	
languages/php.md                   	 156	   156	  138	     138	1467	 1467	 1411	     1411	        9158	          9158	         8780	             8780	       10307	         10307	         9891	             9891	
languages/python.md                	  97	    97	   57	      57	 776	  776	  662	      662	        4623	          4623	         3926	             3926	        5244	          5244	         4456	             4456	
languages/ruby.md                  	 189	   189	  138	     138	1603	 1603	 1513	     1513	        9144	          9144	         8571	             8571	       10446	         10446	         9811	             9811	
languages/scala.md                 	  45	    45	   31	      31	 487	  487	  427	      427	        3112	          3112	         2700	             2700	        3462	          3462	         3003	             3003	
notifications.md                   	 221	   221	  147	     147	1829	 1829	 1654	     1654	       11312	         11312	         9745	             9745	       12859	         12859	        11201	            11201	
osx-ci-environment.md              	  56	    56	   20	      20	 501	  501	  265	      265	        2788	          2788	         1383	             1383	        3249	          3249	         1623	             1623	
postgresql.md                      	  33	    33	   25	      25	 293	  293	  278	      278	        1753	          1753	         1630	             1630	        2008	          2008	         1878	             1878	
pull-requests.md                   	  33	    33	   32	      32	 610	  610	  609	      609	        3090	          3090	         3083	             3083	        3640	          3640	         3633	             3633	
resources.md                       	   4	     4	    4	       4	 100	  100	  100	      100	         728	           728	          728	              728	         785	           785	          785	              785	
sauce-connect.md                   	  40	    40	   31	      31	 372	  372	  351	      351	        2487	          2487	         2337	             2337	        2762	          2762	         2599	             2599	
speeding-up-the-build.md           	  39	    39	   37	      37	 567	  567	  565	      565	        2988	          2988	         2980	             2980	        3460	          3460	         3452	             3452	
status-images.md                   	  20	    20	   20	      20	 282	  282	  282	      282	        1620	          1620	         1620	             1620	        1843	          1843	         1843	             1843	
travis-lint.md                     	  16	    16	    8	       8	 148	  148	  118	      118	         937	           937	          762	              762	        1060	          1060	          860	              860	
travis-pro.md                      	  92	    92	   88	      88	1352	 1352	 1337	     1337	        6998	          6998	         6891	             6891	        8186	          8186	         8071	             8071	
travis-pro-builds-update.md        	  19	    19	   19	      19	 368	  368	  368	      368	        1878	          1878	         1878	             1878	        2196	          2196	         2196	             2196	
